ID,bb.Car,Chl.a,Chl.c1,Chl.c2,Fuco,Phe.a,Viola,Zea
d1,0,1188.566736,50.15146783,0,1006.182257,0,0,0
d1.1,0,1336.099777,55.04336692,0,1142.03801,0,0,0
d1.2,0,1345.560707,56.01306555,0,1138.627582,0,0,0
d7,0,1294.849366,47.76442562,0,1104.435765,0,0,0
d7.1,0,1225.626891,44.99170118,0,1050.881549,0,0,0
d7.2,0,1271.558103,48.32623511,0,1082.149842,0,0,0
p2,0,2669.347723,80.30188016,122.2118091,2009.178389,0,0,69.70477762
p2.1,0,2661.036531,75.54885546,131.7996919,1965.735243,0,0,75.10905809
p2.2,0,2696.396715,89.88768924,115.6968665,2027.599507,0,0,71.46852866
l4,0,670.5094078,0,68.85854372,590.2850308,176.2524434,0,56.74904773
l4.1,0,693.2606712,0,72.94318413,617.3836905,189.468939,0,56.29311915
l4.2,0,697.4804935,0,75.00567138,620.3602126,192.2393186,0,54.80025929
p8,0,1810.467904,0,123.877922,1276.194702,178.2849077,0,152.0020279
p8.1,0,1774.21733,0,125.1087606,1252.701381,190.7912462,0,160.5849663
p8.2,0,1753.321258,0,121.1856619,1205.268859,175.5175361,0,165.1133818
d3,0,1170.216029,40.72590309,0,985.5443424,0,0,0
d3.1,0,1129.418312,39.56382728,0,957.3659038,0,0,0
d3.2,0,1123.095221,39.553561,0,950.5321925,0,0,0
d8,0,1327.073611,25.60921855,0,1202.464207,0,0,0
d8.1,0,1271.072866,25.16560901,0,1156.572205,0,0,0
d8.2,0,1278.44221,25.11535188,0,1170.429479,0,0,0
l3,0,622.7889938,0,68.86186876,577.0630914,158.7688658,0,59.70385664
l3.1,0,604.9403523,0,68.25084892,576.0694401,162.6300378,0,56.8677014
l3.2,0,612.009191,0,70.95795366,568.5001527,159.7077681,0,56.24284029
l7,0,722.0124207,0,70.90360606,642.7646221,174.2372486,0,62.34472538
l7.1,0,758.6990196,0,73.33279064,668.79914,181.9853532,0,64.35174922
l7.2,0,778.0233986,0,77.80261038,670.2398514,185.8204944,0,74.57807574
l5,0,453.924077,0,69.02435475,481.601688,184.497819,0,52.15791384
l5.1,0,444.4505347,0,69.0256052,475.285652,183.6858169,0,52.45695706
l5.2,0,452.4181132,0,68.95428183,485.0564815,184.8565409,0,51.45152812
d4,0,1027.397947,10.89870555,0,904.1757243,0,0,0
d4.1,0,992.4987168,13.50198086,0,860.7216702,0,0,0
d4.2,0,1023.981973,14.265941,0,881.2051606,0,0,0
l6,0,676.2822662,0,73.46872954,639.8569233,179.1414571,0,59.77497647
l6.1,0,678.2206084,0,78.48142968,646.3974124,192.3782203,0,62.82605727
l6.2,0,667.8032948,0,76.93169179,622.9705436,177.6557592,0,58.45202903
l2,0,517.3965945,0,74.03290158,486.5626207,166.9541188,0,60.00844365
l2.1,0,520.8085976,0,74.52693866,496.9050502,170.3040704,0,62.6826368
l2.2,0,520.6524986,0,75.16218107,500.4496395,173.1734449,0,62.38206927
l10,0,499.2041718,0,74.07835033,525.8457972,236.3115302,0,56.45981692
l10.1,0,488.1626806,0,74.35566369,503.5360726,234.5301046,0,58.5864583
l10.2,0,504.4988379,0,77.06789232,518.5610104,240.5332862,0,57.23925673
h7,0,975.1807487,30.80718958,0,918.4118042,0,0,0
h7.1,0,996.027469,32.67084922,0,925.4283209,0,0,0
h7.2,0,1002.074131,31.24489841,0,939.9627954,0,0,0
h8,0,811.1620194,22.36248693,0,788.819658,0,0,0
h8.1,0,798.1000201,20.9066678,0,779.8991845,0,0,0
h8.2,0,801.2045247,23.50600134,0,777.6857451,0,0,0
p5,0,2943.837306,99.98622934,78.37723261,2328.168895,0,0,132.662673
p5.1,0,2867.234868,0,147.0954845,2273.907891,0,0,156.2357197
p5.2,0,2955.544513,2.74353068,155.680318,2377.542336,0,0,125.1897761
h1,0,768.1427486,22.72317113,0,716.1431235,0,0,0
h1.1,0,778.668247,22.98036168,0,729.819331,0,0,0
h1.2,0,787.0291776,24.98764394,0,725.0592699,0,0,0
p7,0,2173.424804,0,161.8981994,1664.426417,0,0,91.78289646
p7.1,0,2173.803639,0,164.5785719,1656.169497,0,0,81.95055287
p7.2,0,2140.60759,5.942895548,149.1431117,1679.12199,0,0,65.27359427
l9,0,905.2331941,0,121.392533,786.5676057,307.0624586,0,95.86740436
l9.1,0,900.3019567,0,123.2987994,816.1834511,330.8028699,0,93.9020467
l9.2,0,880.4046282,0,120.1045285,770.5105233,307.2376622,0,90.43742488
p10,0,2542.821005,82.94423889,122.1946082,1974.603906,0,0,89.52977119
p10.1,0,2594.760238,93.03677613,122.0745066,1990.524307,0,0,95.61298333
p10.2,0,2643.205612,87.27587564,118.5947686,2055.321838,0,0,101.403879
l8,0,531.4836725,0,85.98579838,554.9763173,249.9609039,0,61.73699126
l8.1,0,513.5915095,0,83.95136662,534.1784792,242.6440669,0,61.09066168
l8.2,0,534.8034292,0,85.87152393,557.8486479,244.7162027,0,58.4545793
d2,0,1263.12431,27.1869486,25.82505454,1144.896531,0,0,9.613004739
d2.1,0,1238.055935,32.16625319,21.81241541,1119.965971,0,0,6.836402102
d2.2,0,1232.677696,40.87340451,11.86752123,1117.760081,0,0,8.975391905
h9,0,885.1385893,28.92506327,0,850.0372337,0,0,0
h9.1,0,886.2293377,29.59682341,0,852.6540797,0,0,0
h9.2,0,890.7032257,31.14577282,0,847.0762868,0,0,0
p6,0,2749.403872,158.6779906,43.23315791,2019.734334,0,0,72.92538358
p6.1,0,2806.633325,80.71445043,128.2755841,2039.005926,0,0,73.13845848
p6.2,0,2779.985595,133.9940658,76.50398788,2035.40805,0,0,76.0434423
d5,0,1229.424643,50.84184425,0,1075.20559,0,0,1.031436033
d5.1,0,1221.973466,50.11986991,0,1066.560956,0,0,5.767578747
d5.2,0,1218.684114,46.59906039,0,1063.694566,0,0,5.875850156
h4,0,947.9209181,23.40009546,0,890.6714965,0,0,0
h4.1,0,918.1861215,25.05273296,0,854.9363601,0,0,0
h4.2,0,938.6824046,25.8432148,0,878.2525131,0,0,0
h6,0,1082.732691,34.66501753,0,917.2541216,0,0,0
h6.1,0,1075.743125,35.25961742,0,918.6804042,0,0,0
h6.2,0,1068.557043,35.97949966,0,899.3592822,0,0,0
h10,0,1158.046715,55.55601933,0,979.8589266,0,0,0
h10.1,0,1142.440676,55.69634918,0,968.8452315,0,0,0
h10.2,0,1161.179441,59.29656245,0,982.3293993,0,0,0
d10,0,1340.000811,52.35126673,0,1130.192704,0,0,0
d10.1,0,1532.333206,69.94944817,0,1300.067629,0,0,0
d10.2,0,1565.812488,67.97168611,0,1311.826297,0,0,0
h3,0,1043.400271,37.59887322,0,934.1315896,0,0,0
h3.1,0,1036.256943,38.11297334,0,942.0707203,0,0,0
h3.2,0,1036.391218,37.18796924,0,930.3923106,0,0,0
d9,0,1364.073285,53.96679038,0,1127.361487,0,0,0
d9.1,0,1349.080449,53.76870329,0,1095.584015,0,0,0
d9.2,0,1375.539188,54.28010979,0,1134.969029,0,0,0
d6,0,1250.243409,30.39492632,28.07028883,1079.902093,0,0,22.98225851
d6.1,0,1246.451216,50.97772935,9.31465176,1065.13035,0,0,32.72677827
d6.2,0,1257.752744,53.0353925,13.80961911,1089.205579,0,0,16.4956539
p4,0,2740.873346,130.3382869,48.40545121,2207.319988,0,0,88.96083684
p4.1,0,2739.961428,117.8815546,55.28354533,2205.527167,0,0,98.49914748
p4.2,0,2745.982641,122.1464956,60.76555101,2176.209332,0,0,102.8810034
l1,0,571.3133461,0,95.0956816,572.0976198,259.586017,0,60.76931383
l1.1,0,568.0119623,0,93.67909202,572.4655724,258.7148131,0,61.28291896
l1.2,0,560.8445604,0,93.20979042,581.1086037,263.694595,0,56.06650295
h5,0,1114.353621,41.80719181,0,978.396053,0,0,0
h5.1,0,1136.929135,42.59101884,0,991.5001178,0,0,0
h5.2,0,1139.434969,42.50329263,0,993.0482875,0,0,0
p1,0,1954.814701,0,243.4723856,1590.14246,308.597965,0,270.2296626
p1.1,0,1934.866685,0,261.7904017,1525.199359,339.3119875,11.78868664,295.969131
p1.2,0,2074.521831,0,228.9841149,1697.828412,228.0685168,0,196.2014743
p9,0,3028.481513,0,233.4817132,2101.470288,0,0,239.7932875
p9.1,0,2999.395968,0,211.1106725,2169.166787,4.899634108,0,176.1721019
p9.2,0,3029.309931,0,222.5491793,2119.365658,0,0,210.9036953
