id,g
d1,0.0711
d1,0.0711
d1,0.0711
d7,0.0834
d7,0.0834
d7,0.0834
p2,0.0481
p2,0.0481
p2,0.0481
l4,0.0735
l4,0.0735
l4,0.0735
p8,0.0407
p8,0.0407
p8,0.0407
d3,0.0737
d3,0.0737
d3,0.0737
d8,0.0424
d8,0.0424
d8,0.0424
l3,0.0897
l3,0.0897
l3,0.0897
l7,0.079
l7,0.079
l7,0.079
l5,0.0738
l5,0.0738
l5,0.0738
d4,0.0451
d4,0.0451
d4,0.0451
l6,0.0577
l6,0.0577
l6,0.0577
l2,0.1031
l2,0.1031
l2,0.1031
l10,0.0557
l10,0.0557
l10,0.0557
h7,0.0592
h7,0.0592
h7,0.0592
h8,0.0681
h8,0.0681
h8,0.0681
p5,0.0605
p5,0.0605
p5,0.0605
h1,0.0726
h1,0.0726
h1,0.0726
p7,0.0595
p7,0.0595
p7,0.0595
l9,0.0423
l9,0.0423
l9,0.0423
p10,0.0414
p10,0.0414
p10,0.0414
l8,0.0844
l8,0.0844
l8,0.0844
d2,0.0395
d2,0.0395
d2,0.0395
h9,0.0728
h9,0.0728
h9,0.0728
p6,0.0531
p6,0.0531
p6,0.0531
d5,0.0795
d5,0.0795
d5,0.0795
h4,0.0488
h4,0.0488
h4,0.0488
h6,0.0508
h6,0.0508
h6,0.0508
h10,0.0603
h10,0.0603
h10,0.0603
d10,0.0949
d10,0.0949
d10,0.0949
h3,0.084
h3,0.084
h3,0.084
d9,0.0856
d9,0.0856
d9,0.0856
d6,0.1359
d6,0.1359
d6,0.1359
p4,0.0475
p4,0.0475
p4,0.0475
l1,0.0856
l1,0.0856
l1,0.0856
h5,0.134
h5,0.134
h5,0.134
p1,0.0954
p1,0.0954
p1,0.0954
p9,0.0659
p9,0.0659
p9,0.0659
p3,0.0758
p3,0.0758
p3,0.0758
h2,0.1362
h2,0.1362
h2,0.1362
p13,0.0818
p13,0.0818
p13,0.0818
p12,0.0781
p12,0.0781
p12,0.0781
l13,0.0577
l13,0.0577
l13,0.0577
p11,0.0501
p11,0.0501
p11,0.0501
l12,0.0618
l12,0.0618
l12,0.0618
l11,0.0939
l11,0.0939
l11,0.0939
d12,0.0626
d12,0.0626
d12,0.0626
d11,0.0763
d11,0.0763
d11,0.0763
h13,0.1185
h13,0.1185
h13,0.1185
d13,0.062
d13,0.062
d13,0.062
h11,0.1285
h11,0.1285
h11,0.1285
h12,0.0885
h12,0.0885
h12,0.0885
dS2,0.075
dS2,0.075
dS2,0.075
pS3,0.0492
pS3,0.0492
pS3,0.0492
lS2,0.0421
lS2,0.0421
lS2,0.0421
pS1,0.0366
pS1,0.0366
pS1,0.0366
dS1,0.0554
dS1,0.0554
dS1,0.0554
hS3,0.0507
hS3,0.0507
hS3,0.0507
dS3,0.0843
dS3,0.0843
dS3,0.0843
lS3,0.0537
lS3,0.0537
lS3,0.0537
hS2,0.0489
hS2,0.0489
hS2,0.0489
pS2,0.0646
pS2,0.0646
pS2,0.0646
hS1,0.0646
hS1,0.0646
hS1,0.0646
lS1,0.0935
lS1,0.0935
lS1,0.0935
p4,0.0766
p4,0.0766
p4,0.0766
d3,0.0777
d3,0.0777
d3,0.0777
l3,0.0657
l3,0.0657
l3,0.0657
d6,0.0521
d6,0.0521
d6,0.0521
l1,0.0529
l1,0.0529
l1,0.0529
h5,0.0483
h5,0.0483
h5,0.0483
l8,0.0527
l8,0.0527
l8,0.0527
h2,0.049
h2,0.049
h2,0.049
d2,0.0646
d2,0.0646
d2,0.0646
d5,0.0692
d5,0.0692
d5,0.0692
p5,0.0625
p5,0.0625
p5,0.0625
p1,0.0711
p1,0.0711
p1,0.0711
d4,0.0904
d4,0.0904
d4,0.0904
h3,0.0904
h3,0.0904
h3,0.0904
h1,0.0834
h1,0.0834
h1,0.0834
h6,0.0992
h6,0.0992
h6,0.0992
h7,0.0623
h7,0.0623
h7,0.0623
l6,0.1545
l6,0.1545
l6,0.1545
d17,0.0598
d17,0.0598
d17,0.0598
l17,0.1116
l17,0.1116
l17,0.1116
p14,0.0951
p14,0.0951
p14,0.0951
h17,0.1475
h17,0.1475
h17,0.1475
p17,0.0819
p17,0.0819
p17,0.0819
h16,0.1576
h16,0.1576
h16,0.1576
h15,0.1444
h15,0.1444
h15,0.1444
l15,0.1505
l15,0.1505
l15,0.1505
p15,0.0968
p15,0.0968
p15,0.0968
h14,0.1457
h14,0.1457
h14,0.1457
l16,0.1392
l16,0.1392
l16,0.1392
p16,0.1079
p16,0.1079
p16,0.1079
l14,0.1469
l14,0.1469
l14,0.1469
d14,0.0857
d14,0.0857
d14,0.0857
d15,0.0827
d15,0.0827
d15,0.0827
d16,0.1097
d16,0.1097
d16,0.1097
dL5,0.1147
dL5,0.1147
dL5,0.1147
p2,0.1344
p2,0.1344
p2,0.1344
l4,0.1131
l4,0.1131
l4,0.1131
d7,0.1096
d7,0.1096
d7,0.1096
hL3,0.1312
hL3,0.1312
hL3,0.1312
